Execution Number,Days on Death Row,Statement Length,Sentiment Score
154,3888.0,555,0.9623
264,2585.0,241,-0.7698
292,,723,0.9944
299,,445,-0.1164
3,1268.0,776,0.985
301,,446,-0.9692
322,,392,-0.8773
336,,689,0.9887
338,1413.0,541,0.8895
343,2310.0,394,0.9819
346,933.0,80,-0.25
355,4184.0,765,0.9839
359,2598.0,172,0.9741
369,2239.0,394,0.7316
374,,192,0.9584
376,,373,0.9648
383,667.0,522,0.9423
384,,345,0.9846
387,2778.0,32,0.0
392,,390,0.8481
397,,697,0.9931
405,2756.0,110,0.8126
410,3343.0,165,0.8884
413,2985.0,1070,0.9816
414,2323.0,224,0.9652
415,3414.0,1142,0.9944
423,2453.0,787,0.9869
424,,118,0.967
425,,336,0.9827
427,2504.0,1180,-0.9277
429,3513.0,520,0.975
438,3436.0,850,0.9912
445,3115.0,146,0.936
452,2926.0,759,0.9736
455,3344.0,1298,0.9987
456,3461.0,112,0.5994
457,3705.0,1077,0.9981
458,,875,0.998
463,,2,-0.296
465,,1081,-0.8038
470,4137.0,1109,0.9952
473,3414.0,18,0.6369
474,2912.0,518,0.7093
476,4417.0,490,0.989
478,3898.0,240,0.9287
480,3843.0,229,0.9017
482,3549.0,1468,0.9886
486,4372.0,1641,0.9985
490,2933.0,46,0.0
492,3678.0,362,0.9908
495,6920.0,209,0.9601
496,3930.0,277,-0.8979
498,3267.0,307,-0.9503
499,4823.0,648,0.9837
500,5387.0,349,0.9681
501,5335.0,121,0.9382
502,3144.0,391,0.9307
504,5111.0,506,0.9902
505,3570.0,725,0.9887
506,4980.0,81,0.9274
507,5103.0,590,0.839
514,4900.0,1146,0.9981
515,5178.0,997,0.9928
518,3050.0,959,0.998
521,,114,0.7506
522,4790.0,145,0.9674
523,5609.0,289,0.7964
526,4390.0,570,0.9884
528,4684.0,345,0.9796
533,5005.0,5,0.0
540,3242.0,62,0.9287
541,4842.0,375,0.9698
545,5671.0,766,0.9862
548,6237.0,58,0.5267
552,4656.0,17,-0.296
553,5479.0,206,0.9565
555,6754.0,19,-0.296
556,6435.0,349,0.1268
558,5779.0,390,0.9595
559,6383.0,193,0.9612
562,7482.0,55,0.2732
563,6993.0,1130,0.9946
564,5816.0,1573,0.9981
565,2737.0,297,0.7506
566,3954.0,269,0.3818
568,5171.0,547,0.993
569,4826.0,287,0.9573
576,5466.0,595,0.9872
578,6669.0,979,0.9982
581,5321.0,146,0.93
582,8670.0,944,0.8535
585,8141.0,264,0.8875
587,7405.0,1523,0.9937
589,6524.0,542,0.9431
1,,821,0.7645
10,,227,0.6908
100,,46,0.0
101,,46,0.0
102,,318,0.9545
103,,46,0.0
104,,46,0.0
105,,46,0.0
106,,46,0.0
107,,352,-0.6613
108,,220,0.98
109,,32,0.6369
11,,45,0.0
110,,372,0.8201
111,,383,0.9505
112,,46,0.0
113,,316,0.9042
114,,46,0.0
115,,46,0.0
116,,46,0.0
117,,94,0.7937
118,,1160,0.9274
119,,46,0.0
12,,46,0.0
120,,366,0.981
121,,123,0.9287
122,,494,0.4357
123,,516,-0.8658
124,,525,0.988
125,,296,-0.3612
126,,128,0.9153
127,,261,0.9798
128,,501,0.8591
129,,116,0.5719
13,,389,0.9654
130,,511,0.9693
131,,129,0.9246
132,,218,0.2732
133,,41,0.8979
134,,480,0.9877
135,,46,0.0
136,,444,0.9818
137,,441,0.9905
138,,751,0.9774
139,,478,0.9421
14,,94,0.9349
140,,130,0.9452
141,,90,0.7977
142,,656,0.9842
143,,72,0.0
144,,303,0.9751
145,,467,0.9898
146,,185,0.7115
147,,302,0.9636
148,,292,0.915
149,,46,0.0
15,,33,0.0772
150,,283,-0.5405
151,,219,0.9672
152,,253,0.9195
153,,526,0.872
155,,46,0.0
156,,131,0.886
157,,126,0.296
158,,639,0.9614
159,,120,0.9694
16,,169,-0.3612
160,,1412,0.9959
161,,37,0.3612
162,,1302,0.9875
163,,90,0.8271
164,,179,0.9271
165,,505,0.9759
166,,751,0.9904
167,,1937,-0.8566
168,,151,-0.7351
169,,713,0.8735
17,,161,-0.842
170,,46,0.0
171,,46,0.0
172,,769,0.9868
173,,46,0.0
174,,74,0.3612
175,,46,0.0
176,,46,0.0
177,,46,0.0
178,,46,0.0
179,,491,0.9844
18,,46,0.0
180,,239,0.9329
181,,46,0.0
182,,132,-0.8087
183,,46,0.0
184,,46,0.0
185,,46,0.0
186,,46,0.0
187,,299,0.986
188,,1219,0.9942
189,,46,0.0
19,,199,0.6987
190,,589,0.9826
191,,46,0.0
192,,439,0.9881
193,,46,0.0
194,,65,0.34
195,,777,0.9395
196,,682,0.7783
197,,3544,0.9972
198,,904,0.9141
199,,103,0.9607
2,2150.0,46,0.0
20,,46,0.0
200,,38,0.6369
201,,93,0.8555
202,,197,0.9318
203,,46,0.0
204,,1062,0.9661
205,8530.0,46,0.0
206,,448,0.9806
207,,452,0.9634
208,,46,0.0
209,,552,0.9441
21,,46,0.0
210,,46,0.0
211,,2072,0.9955
212,,2174,0.9175
213,,2298,0.9986
214,,2840,0.9977
215,,2495,0.9984
216,,353,0.9878
217,,386,0.9912
218,,947,0.9956
219,,1663,-0.4998
22,2346.0,46,0.0
220,,439,0.6767
221,,2628,0.9917
222,,6951,0.9981
223,,233,0.9714
224,,1087,0.8228
225,,1858,0.9981
226,,466,-0.6124
227,,310,0.8779
228,,46,0.0
229,,360,0.9515
23,,179,0.8126
230,,228,-0.0644
231,,1320,0.9964
232,,438,0.9816
233,,1080,0.9969
234,,279,0.926
235,3714.0,1336,0.9918
236,,247,0.9597
237,,614,0.9924
238,,19,0.0
239,,131,0.6705
24,,46,0.0
240,,492,0.9442
241,,44,0.0
242,,46,0.0
243,,626,0.9881
244,,446,0.9494
245,,2306,0.9963
246,,315,0.9374
247,,142,-0.7645
248,,1439,0.9981
249,,884,0.998
25,,46,0.0
250,,475,0.9074
251,,1071,0.9558
252,,46,0.0
253,,928,0.9963
254,,1330,0.9649
255,,683,0.971
256,,833,0.9501
257,,604,0.9769
258,,1187,0.9907
259,,175,-0.7783
26,,46,0.0
260,,3844,0.9875
261,,168,0.0
262,,475,0.9801
263,,504,0.9878
265,,46,0.0
266,,457,0.9423
267,,1003,0.9925
268,,505,0.9931
269,,1022,0.9954
27,,46,0.0
270,,2133,-0.9812
271,,97,0.2023
272,,46,0.0
273,,190,0.6486
274,,603,0.5258
275,,522,0.5003
276,,163,0.8481
277,,1634,0.9979
278,,209,0.9769
279,,636,0.9241
28,,46,0.0
280,,543,0.9622
281,,46,0.0
282,,1466,0.8175
283,,1153,0.9954
284,,72,0.9325
285,,34,0.6908
286,,1232,-0.9935
287,,1219,-0.9681
288,,46,0.0
289,,256,0.9422
29,,46,0.0
290,,727,0.9697
291,,46,0.0
293,,179,0.8658
294,,515,0.9784
295,,302,0.8555
296,,46,0.0
297,,2145,0.9933
298,,2314,0.9906
30,,117,0.9231
300,,625,0.9814
302,,519,0.9856
303,,46,0.0
304,,967,0.98
305,,75,0.8555
306,,1119,0.9983
307,,46,0.0
308,,315,0.9741
309,,651,0.9871
31,,46,0.0
310,,690,0.9868
311,1273.0,46,0.0
312,,187,0.9773
313,,549,0.99
314,,46,0.0
315,939.0,533,0.9886
316,,325,0.9767
317,,1287,0.6258
318,,191,-0.5158
319,,46,0.0
32,,42,0.7506
320,,360,0.3425
321,,384,0.9826
323,,94,0.9186
324,,700,0.976
325,,333,0.9892
326,,546,0.9854
327,,575,0.9859
328,,53,0.1779
329,,323,0.9493
33,,129,-0.5719
330,,578,0.9951
331,,1430,0.9969
332,,46,0.0
333,,313,0.9788
334,,196,0.9517
335,,630,0.9907
337,,243,0.891
339,,98,0.8979
34,,48,0.6808
340,,462,0.9709
341,,296,-0.296
342,,752,0.9934
344,,254,0.9001
345,,386,0.9738
347,2435.0,151,0.0772
348,,46,0.0
349,,46,0.0
35,,156,0.5994
350,,319,0.9937
351,,584,0.993
352,2361.0,1170,0.8846
353,2333.0,219,0.9423
354,,192,0.9136
356,,46,0.0
357,,691,0.995
358,,692,0.9758
36,,46,0.0
360,,151,0.9812
361,,323,0.9702
362,2527.0,361,0.9855
363,,446,0.9844
364,,281,-0.2277
365,2582.0,187,0.9574
366,,930,0.9909
367,,1348,0.9939
368,1986.0,352,0.0772
37,,114,-0.6597
370,,372,0.984
371,,585,0.9042
372,,472,0.986
373,3101.0,652,0.9955
375,,598,0.9928
377,,46,0.0
378,,438,0.9806
379,,561,0.9623
38,,18,0.3612
380,,220,0.8788
381,2813.0,536,0.9636
382,,46,0.0
385,2479.0,46,0.0
386,,288,0.9861
388,,1494,0.9737
389,,426,0.86
39,,55,0.5994
390,,726,0.875
391,,114,0.0
393,,46,0.0
394,,46,0.0
395,,694,0.9636
396,,38,0.5574
398,,170,0.9618
399,,105,0.8555
4,,712,0.9442
40,,96,0.0
400,2998.0,1198,0.9792
401,2910.0,318,0.9657
402,,296,0.9794
403,,1714,0.9943
404,2955.0,46,0.0
406,,792,0.9096
407,3941.0,661,0.9484
408,3304.0,46,0.0
409,,73,0.5994
41,,160,0.7269
411,,121,0.9349
412,2091.0,102,0.8176
416,,416,0.9895
417,1874.0,695,0.9952
418,3256.0,46,0.0
419,,1617,-0.8176
42,,67,0.0
420,,386,0.9802
421,,528,0.9955
422,,599,0.9909
426,,92,0.9118
428,,113,0.9657
43,,46,0.0
430,,156,-0.296
431,2198.0,1128,-0.9863
432,,640,0.9753
433,,323,0.9602
434,,344,0.9874
435,2583.0,1078,0.975
436,,58,0.8271
437,,148,0.7753
439,,134,0.1531
44,,46,0.0
440,2676.0,449,0.9928
441,,43,0.8311
442,,705,0.7167
443,2983.0,720,0.8623
444,3854.0,1073,0.9969
446,3261.0,578,0.9947
447,,15,0.3612
448,,46,0.0
449,,382,0.644
45,,74,0.8462
450,,285,0.9488
451,3055.0,987,0.9856
453,,325,0.3182
454,2840.0,46,0.0
459,,574,0.9895
46,,137,0.0
460,,46,0.0
461,,206,0.9062
462,2696.0,18,-0.296
464,,102,0.4215
466,4009.0,46,0.0
467,2938.0,337,0.9826
468,2967.0,232,0.932
469,,915,0.7272
47,,46,0.0
471,,786,0.9686
472,,598,0.9844
475,3312.0,30,-0.296
477,3446.0,595,0.9942
479,2884.0,674,0.9984
48,,19,0.4404
481,3422.0,247,0.9743
483,2879.0,87,0.9403
484,,395,0.9877
485,,242,0.9504
487,3145.0,119,-0.8343
488,3752.0,1182,0.9985
489,,711,0.9909
49,,127,0.8555
491,3142.0,419,0.8798
493,,1162,0.9828
494,,950,0.9952
497,3392.0,460,0.9313
5,,63,0.8316
50,,27,0.0
503,3956.0,419,-0.8225
508,,429,0.9141
509,1800.0,46,0.0
51,,46,0.0
510,,46,0.0
511,5256.0,975,0.9988
512,5165.0,46,0.0
513,3597.0,46,0.0
516,4495.0,363,0.9862
517,,362,0.9956
519,4821.0,63,0.4588
52,,46,0.0
520,,443,0.99
524,4062.0,401,0.9729
525,4568.0,21,0.3612
527,,277,0.9719
529,2030.0,601,0.9787
53,,46,0.0
530,5593.0,623,0.9692
531,4765.0,140,0.9761
532,4961.0,231,0.9652
534,2654.0,74,0.9081
535,,523,0.9091
536,,2138,0.9992
537,3206.0,237,0.9432
538,6399.0,59,0.0
539,4557.0,0,0.0
54,,46,0.0
542,,835,0.7348
543,,183,0.8541
544,4579.0,414,0.4404
546,7113.0,504,0.9747
547,4824.0,737,0.992
549,5809.0,1223,0.646
55,,46,0.0
550,3633.0,217,0.8957
551,3365.0,115,0.6369
554,4562.0,236,0.9805
557,,82,0.9136
56,,46,0.0
560,,163,0.9769
561,,95,-0.7506
567,5327.0,0,0.0
57,,46,0.0
570,6264.0,19,-0.296
571,9592.0,567,0.9872
572,7411.0,277,0.7506
573,3744.0,22,-0.296
574,,1490,0.9851
575,,358,0.9493
577,5017.0,268,0.9744
579,6161.0,24,-0.296
58,,287,0.9532
580,,329,0.9628
583,4490.0,968,-0.9646
584,,2014,-0.9774
586,,1594,0.9973
588,8266.0,1349,0.9957
59,,46,0.0
590,,994,0.7808
591,4880.0,1445,0.9971
6,,455,0.9805
60,,339,0.8598
61,,46,0.0
62,,408,0.986
63,,46,0.0
64,,46,0.0
65,,57,-0.5994
66,,46,0.0
67,,2014,-0.9885
68,,46,0.0
69,,46,0.0
7,,46,0.0
70,,117,0.886
71,,654,0.2263
72,,178,0.5859
73,,6,0.5423
74,,46,0.0
75,,46,0.0
76,,46,0.0
77,,162,0.7783
78,,52,0.8176
79,,356,0.25
8,,135,0.6697
80,,37,0.6369
81,,46,0.0
82,,84,0.0
83,,13,0.0
84,,591,0.9501
85,,1229,0.2766
86,,220,0.9446
87,,79,0.6124
88,,233,0.9779
89,,32,0.8271
9,,1389,-0.5859
90,,25,0.6369
91,,56,0.8316
92,,46,0.0
93,,46,0.0
94,,199,0.5267
95,,46,0.0
96,,244,0.7184
97,,46,0.0
98,,150,0.9413
99,,81,0.7351
